;particpant_ID;puzzler;team_ID;E4_nr;upset;hostile;alert;ashamed;inspired;nervous;determined;attentive;afraid;active;frustrated;Round;Phase;difficulty
4;5;0;4;A02B10;1;1;3;1;4.0;1;4.0;4.0;1.0;3.0;5;4;2;4.0
5;6;1;4;A03072;1;1;1;1;1.0;1;2.0;2.0;1.0;1.0;4;4;2;5.0
6;7;1;2;A0388C;1;1;1;1;3.0;1;3.0;3.0;1.0;3.0;1;4;2;6.0
7;8;0;2;A03804;2;1;2;1;1.0;1;2.0;2.0;1.0;2.0;3;4;2;3.0
0;1;0;1;A03701;2;1;1;1;3.0;1;4.0;3.0;1.0;2.0;2;4;3;
1;2;1;1;A0306B;2;1;2;3;2.0;1;2.0;2.0;1.0;2.0;4;4;3;
2;3;1;3;A02FBE;1;1;2;1;2.0;1;3.0;3.0;1.0;3.0;2;4;3;
3;4;0;3;A03857;2;1;1;2;1.0;1;1.0;1.0;1.0;2.0;5;4;3;
4;5;0;4;A02B10;1;1;1;1;1.0;1;1.0;1.0;1.0;1.0;0;4;3;
5;6;1;4;A03072;1;1;1;1;1.0;1;1.0;1.0;1.0;1.0;0;4;3;
6;7;1;2;A0388C;1;1;1;1;2.0;1;2.0;2.0;1.0;2.0;4;4;3;
7;8;0;2;A03804;1;1;1;1;1.0;1;2.0;1.0;1.0;1.0;1;4;3;
